trace,count
11 12 16 23 46 3,3
1 2 23 77 3,3
11 12 16 20 42 3,3
11 12 22 17 39 3,3
11 12 16 4 3,3
1 6 23 33 3,3
11 12 22 37 3,3
1 7 14 64 3,3
1 6 27 18 3,3
11 12 16 69 3,3
11 12 22 4 3,3
11 12 13 20 45 3,3
11 12 22 17 43 3,3
1 7 23 82 3,3
11 12 22 14 69 3,3
11 12 22 20 35 3,3
11 12 16 23 28 3,3
1 2 23 36 3,3
1 7 27 58 3,3
1 2 23 38 3,3
11 12 16 27 15 3,3
1 2 23 37 3,3
11 12 22 20 45 3,3
11 12 19 69 3,3
11 12 13 27 34 3,3
1 2 27 26 3,3
1 2 27 29 3,3
1 6 23 54 3,3
1 6 23 55 3,3
1 7 27 8 3,3
1 6 23 57 3,3
1 2 20 53 3,3
1 6 27 5 3,3
1 7 27 56 3,3
11 12 13 14 83 3,3
1 2 23 47 3,3
11 12 13 14 46 3,3
11 12 13 17 24 3,3
1 6 23 41 3,3
1 6 23 8 3,3
1 7 27 26 3,3
11 12 22 20 39 3,3
11 12 13 23 67 3,3
11 12 16 50 3,3
11 12 19 14 34 3,3
11 12 19 14 35 3,3
11 12 13 23 24 3,3
11 12 19 17 28 3,2
11 12 13 48 3,2
11 12 13 23 42 3,2
11 12 22 27 35 3,2
11 12 16 43 30 3,2
11 12 19 17 24 3,2
11 12 13 23 45 3,2
11 12 19 17 34 3,2
11 12 13 23 50 3,2
11 12 19 17 33 3,2
1 2 23 54 3,2
1 2 17 81 3,2
11 12 19 17 32 3,2
1 2 23 33 3,2
1 2 17 55 3,2
11 12 13 20 33 3,2
11 12 13 23 48 3,2
11 12 13 20 42 3,2
11 12 13 23 63 3,2
11 12 13 20 38 3,2
11 12 19 17 39 3,2
11 12 19 20 28 3,2
11 12 19 17 40 3,2
1 2 17 74 3,2
1 2 17 57 3,2
1 2 17 64 3,2
1 9 17 4 3,2
11 12 16 56 3,2
1 2 17 65 3,2
11 12 13 44 3,2
1 2 17 66 3,2
11 12 19 17 21 3,2
11 12 22 53 3,2
11 12 22 35 30 3,2
1 9 17 18 3,2
11 12 13 20 56 3,2
11 12 19 20 15 3,2
1 6 14 55 3,2
11 12 13 23 39 3,2
11 12 19 17 52 3,2
11 12 13 23 79 3,2
1 9 14 8 3,2
11 12 13 20 54 3,2
11 12 22 51 3,2
1 2 17 79 3,2
11 12 13 20 48 3,2
1 2 23 5 3,2
11 12 13 23 35 3,2
11 12 13 20 46 3,2
1 9 20 4 3,2
11 12 19 17 43 3,2
11 12 13 20 43 3,2
11 12 13 14 45 3,2
11 12 13 27 73 3,2
1 2 23 63 3,2
1 9 73 3,2
1 9 81 3,2
11 12 19 14 15 3,2
11 12 13 14 81 3,2
11 12 13 27 46 3,2
1 2 20 55 3,2
1 2 27 18 3,2
11 12 13 27 32 3,2
1 2 27 55 3,2
1 2 20 57 3,2
11 12 22 27 50 3,2
11 12 22 41 3,2
11 12 19 14 48 3,2
11 12 13 27 26 3,2
11 12 13 17 32 3,2
1 2 27 65 3,2
11 12 13 27 48 3,2
1 2 27 73 3,2
11 12 22 27 52 3,2
11 12 19 14 21 3,2
1 2 27 47 3,2
11 12 13 27 45 3,2
11 12 19 14 45 3,2
11 12 13 14 48 3,2
11 12 13 14 40 3,2
1 2 20 5 3,2
11 12 19 14 39 3,2
11 12 13 27 42 3,2
11 12 13 14 52 3,2
11 12 13 14 56 3,2
1 2 27 33 3,2
11 12 13 14 33 3,2
11 12 13 27 43 3,2
11 12 13 14 28 3,2
11 12 19 14 42 3,2
11 12 19 20 34 3,2
11 12 22 27 65 3,2
11 12 13 27 38 3,2
11 12 13 14 69 3,2
11 12 13 14 74 3,2
1 2 20 64 3,2
11 12 22 27 5 3,2
1 9 23 53 3,2
11 12 13 17 78 3,2
11 12 22 36 3,2
1 9 23 81 3,2
11 12 13 17 73 3,2
11 12 16 27 73 3,2
1 9 23 78 3,2
11 12 22 5 3,2
11 12 13 17 74 3,2
1 9 23 69 3,2
11 12 19 14 80 3,2
11 12 22 27 74 3,2
11 12 13 17 82 3,2
1 9 23 63 3,2
11 12 22 27 39 3,2
1 2 23 65 3,2
11 12 19 17 15 3,2
1 9 23 57 3,2
1 9 23 55 3,2
1 9 23 54 3,2
1 2 23 69 3,2
11 12 22 27 40 3,2
11 12 19 14 70 3,2
11 12 16 27 81 3,2
11 12 22 27 48 3,2
1 2 20 37 3,2
11 12 13 17 50 3,2
11 12 22 27 45 3,2
11 12 22 27 43 3,2
1 6 14 26 3,2
1 2 23 78 3,2
11 12 13 27 51 3,2
11 12 13 17 54 3,2
11 12 22 27 78 3,2
11 12 19 14 5 3,2
11 12 19 14 50 3,2
11 12 19 14 51 3,2
11 12 13 27 58 3,2
11 12 19 14 62 3,2
1 9 27 52 3,2
1 9 27 5 3,2
1 2 27 37 3,2
11 12 16 14 25 3,2
1 2 17 54 3,2
1 7 27 18 3,2
1 6 23 63 3,2
1 7 27 73 3,2
1 6 23 64 3,2
11 12 19 70 3,2
1 6 23 65 3,2
1 7 27 55 3,2
11 12 22 20 42 3,2
1 7 27 41 3,2
1 6 23 73 3,2
1 6 23 74 3,2
1 6 23 77 3,2
1 6 23 79 3,2
11 12 16 17 69 3,2
1 7 27 78 3,2
1 7 23 81 3,2
11 12 22 10 3,2
11 12 22 14 21 3,2
11 12 16 17 78 3,2
1 7 23 66 3,2
1 7 23 63 3,2
1 7 23 59 3,2
1 7 23 54 3,2
11 12 16 18 3,2
1 7 23 53 3,2
11 12 22 14 33 3,2
11 12 16 20 24 3,2
1 6 23 59 3,2
1 6 23 58 3,2
1 7 23 36 3,2
1 6 20 63 3,2
11 12 16 27 34 3,2
11 12 19 55 3,2
1 75 14 58 3,2
11 12 22 23 36 3,2
1 6 20 37 3,2
1 6 20 38 3,2
1 9 14 38 3,2
11 12 22 23 34 3,2
11 12 16 27 32 3,2
11 12 22 23 30 3,2
11 12 16 17 45 3,2
1 6 20 57 3,2
1 6 20 69 3,2
1 7 27 83 3,2
1 6 20 73 3,2
11 12 22 20 81 3,2
1 6 23 18 3,2
11 12 16 27 28 3,2
1 6 23 31 3,2
1 6 23 36 3,2
11 12 16 27 25 3,2
11 12 16 17 51 3,2
1 6 23 47 3,2
11 12 22 20 59 3,2
11 12 16 17 54 3,2
1 2 14 26 3,2
1 7 23 41 3,2
1 7 23 33 3,2
11 12 22 23 39 3,2
1 6 27 55 3,2
1 7,2
1 6 27 29 3,2
1 6 27 31 3,2
11 12 16 23 39 3,2
11 12 16 23 15 3,2
1 6 27 37 3,2
1 6 27 38 3,2
11 12 22 17 63 3,2
1 6 27 41 3,2
1 6 27 47 3,2
1 6 27 52 3,2
11 12 16 23 35 3,2
11 12 16 23 24 3,2
1 7 14 25 3,2
11 12 22 17 82 3,2
11 12 22 17 81 3,2
1 6 27 63 3,2
1 6 27 64 3,2
1 6 27 69 3,2
1 6 27 73 3,2
11 12 22 17 74 3,2
11 12 16 23 26 3,2
11 12 22 17 70 3,2
11 12 22 17 65 3,2
1 6 27 80 3,2
1 6 27 81 3,2
1 6 27 26 3,2
11 12 22 17 48 3,2
1 7 23 18 3,2
11 12 16 23 56 3,2
11 12 22 14 40 3,2
11 12 22 14 42 3,2
1 7 20 82 3,2
1 7 20 81 3,2
11 12 22 14 45 3,2
11 12 16 20 34 3,2
11 12 16 20 39 3,2
11 12 22 14 48 3,2
1 7 20 47 3,2
11 12 16 20 45 3,2
11 12 16 20 52 3,2
11 12 16 23 63 3,2
1 7 17 77 3,2
11 12 22 17 46 3,2
11 12 22 14 73 3,2
1 7 17 59 3,2
1 7 17 56 3,2
11 12 16 23 52 3,2
11 12 16 20 73 3,2
11 12 16 20 74 3,2
11 12 16 23 43 3,2
1 7 14 69 3,2
11 12 16 23 42 3,2
1 7 14 54 3,2
1 7 14 53 3,2
11 12 22 17 45 3,2
1 2 14 37 3,2
11 12 16 17 40 3,2
1 75 20 25 3,2
11 12 19 27 24 3,2
1 76 77 3,2
1 76 74 3,2
11 12 16 14 21 3,2
1 76 69 3,2
11 12 22 27 28 3,2
1 76 60 3,2
1 76 54 3,2
1 76 41 3,2
11 12 16 14 32 3,2
1 2 14 57 3,2
11 12 22 27 15 3,2
11 12 16 14 38 3,2
1 76 80 3,2
11 12 16 14 39 3,2
1 76 27 4 3,2
1 76 25 3,2
1 2 14 54 3,2
11 12 19 27 40 3,2
1 76 18 3,2
11 12 16 27 35 3,2
11 12 19 27 42 3,2
11 12 19 27 45 3,2
11 12 16 27 61 3,2
11 12 19 27 56 3,2
11 12 19 23 78 3,2
11 12 19 23 74 3,2
11 12 19 27 64 3,2
1 84 54 3,2
1 2 17 53 3,2
1 9,2
1 2 17 5 3,2
11 12 22 58 3,2
1 2 17 29 3,2
11 12 19 20 81 3,2
1 84 8 3,2
11 12 22 27 32 3,2
1 84 60 3,2
11 12 19 23 15 3,2
1 2 14 82 3,2
1 84 53 3,2
1 84 10 3,2
1 84 47 3,2
1 84 41 3,2
1 84 37 3,2
1 6 14 60 3,2
11 12 19 23 39 3,2
1 6 14 63 3,2
1 84 27 31 3,2
1 2 14 63 3,2
11 12 16,2
11 12 19 23 64 3,2
11 12 19 23 65 3,2
11 12 19 27 59 3,2
1 2 23 26 3,2
11 12 19 27 65 3,2
1 75 27 49 3,2
1 6 14 8 3,2
1 2 14 52 3,2
1 6 14 80 3,2
1 75 74 3,2
1 75 65 3,2
1 75 64 3,2
11 12 19 27 8 3,2
1 75 63 3,2
1 75 59 3,2
11 12 16 14 65 3,2
11 12 16 14 82 3,2
1 6 17 31 3,2
1 6 17 36 3,2
1 75 49 3,2
11 12 16 27 42 3,2
11 12 19 27 74 3,2
11 12 16 14 79 3,2
1 75 27 82 3,2
1 6 17 47 3,2
1 6 17 5 3,2
11 12 16 17 10 3,2
1 6 17 55 3,2
11 12 22 23 60 3,2
1 6 20 10 3,2
1 6 17 81 3,2
11 12 19 4 3,2
1 75 80 3,2
11 12 16 27 48 3,2
11 12 22 23 49 3,2
1 76 14 26 3,2
1 2 14 4 3,2
1 76 10 3,2
1 6 17 74 3,2
11 12 16 27 46 3,2
11 12 22 23 66 3,2
1 75 81 3,2
1 6 17 49 3,2
11 12 16 27 31 3,1
11 12 22 70 3,1
11 12 16 23 34 3,1
11 12 22 90 3,1
11 12 16 27 68 3,1
11 12 16 27 67 3,1
11 12 22 57 3,1
11 12 22 56 3,1
11 12 22 45 30 3,1
11 12 16 27 38 3,1
11 12 16 27 64 3,1
11 12 16 27 36 3,1
11 12 16 27 44 3,1
11 12 16 27 4 3,1
11 12 16 27 71 3,1
11 12 16 23 83 3,1
11 12 16 23 82 3,1
11 12 16 27 82 14 47 3,1
11 12 16 37 3,1
11 12 16 27 77 3,1
11 12 16 27 74 3,1
11 12 16 27 59 3,1
11 12 16 27 50 3,1
11 12 22 40 30 3,1
11 12 22 86 3,1
11 12 16 23 80 3,1
11 12 16 27 82 3,1
11 12 22 39 30 3,1
11 12 16 27 40 3,1
11 12 16 27 87 3,1
11 12 16 27 64 14 38 3,1
11 12 16 23 68 3,1
11 12 16 23 67 3,1
11 12 22 8 3,1
11 12 16 23 65 3,1
11 12 16 26 3,1
11 12 16 23 54 3,1
11 12 16 23 50 3,1
11 12 16 23 49 3,1
11 12 16 27 8 3,1
11 12 16 27 64 27 47 3,1
11 12 16 23 81 3,1
11 12 22 17 67 3,1
11 12 16 44 3,1
11 12 22 23 46 3,1
11 12 22 23 74 3,1
11 12 19 27 70 3,1
11 12 19 27 73 3,1
11 12 19 27 78 3,1
11 12 19 27 82 3,1
11 12 19 27 91 3,1
11 12 22 23 68 3,1
11 12 22 23 63 3,1
11 12 22 23 51 3,1
11 12 22 23 48 3,1
11 12 19 42 30 3,1
11 12 22 23 81 3,1
11 12 22 23 42 3,1
11 12 22 23 40 3,1
11 12 19 50 3,1
11 12 22 23 39 14 30 3,1
11 12 19 53 3,1
11 12 19 57 3,1
11 12 22 23 35 3,1
11 12 22 23 32 3,1
