case_id,trace
620,1 9 68 3
621,1 75 78 3
622,1 76 74 3
623,1 84 3
624,1 2 79 3
625,1 2 83 3
626,1 6 60 3
627,1 7 3
628,1 2 3
629,1 2 3
630,1 6 3
631,1 7 3
632,1 2 81 3
633,1 6 3
634,1 2 23 66 3
635,1 6 5 3
636,1 7 3
637,1 9 3
638,1 6 10 3
639,1 75 3
640,1 76 3
641,1 2 3
642,1 7 3
643,1 84 3
644,1 9 3
645,1 85 27 5 3
646,1 2 3
647,1 76 8 3
648,1 6 3
649,1 2 14 64 3
650,1 6 17 31 3
651,1 2 20 4 3
652,1 7 74 3
653,1 2 3
654,1 6 54 3
655,1 7 65 3
656,1 9 3
657,1 75 56 3
658,1 76 29 3
659,1 2 3
660,1 6 17 37 3
661,1 7 36 3
662,1 2 3
663,1 6 3
664,1 7 3
665,1 9 3
666,1 2 3
667,1 6 37 3
668,1 2 83 3
669,1 2 53 3
670,1 7 3
671,1 9 80 3
672,1 75 25 3
673,1 6 14 26 3
674,1 76 77 3
675,1 84 3
676,1 2 20 53 14 52 3
677,1 6 23 57 3
678,1 7 55 3
679,1 2 27 55 3
680,1 6 3
681,1 7 73 3
682,1 9 3
683,1 2 3
684,11 12 13 33 3
685,11 12 16 27 24 3
686,11 12 19 52 3
687,11 12 22 30 3
688,1 6 10 3
689,11 12 12 12 12 12 12 72
690,1 7 3
691,11 12 12 16 45 3
692,11 12 12 19 17 32 3
693,11 12 12 22 79 3
694,1 2 8 3
695,11 12 12 12 12 19 20 15 3
696,11 12 12 12 12 22 14 69 3
697,11 12 12 12 12 13 17 26 3
698,11 12 12 12 12 12 12 72
699,11 12 13 28 3
700,11 12 12 12 12 12 12 72
701,11 12 12 12 12 12 12 72
702,11 12 12 12 12 12 12 72
703,1 6 17 41 3
704,11 12 12 12 12 12 12 72
705,11 12 12 12 12 12 12 72
706,11 12 12 12 12 12 12 72
707,11 12 12 12 12 12 12 72
708,11 12 19 23 30 3
709,11 12 13 14 56 3
710,1 2 27 29 3
711,11 12 22 17 21 3
712,11 12 12 12 12 12 12 72
713,11 12 12 12 12 12 12 72
714,11 12 12 12 12 12 12 72
715,11 12 12 12 12 12 12 72
716,1 6 58 3
717,1 7 3
718,11 12 13 40 3
719,11 12 19 20 66 3
720,11 12 12 13 51 3
721,11 12 12 16 61 3
722,11 12 16 77 3
723,11 12 22 17 82 3
724,11 12 12 12 12 12 12 72
725,1 9 3
726,1 2 56 3
727,1 6 54 3
728,1 6 3
729,1 2 3
